learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
1e-06,adam,512,0.001,500,30,4.100131034851074,4.11297101972903
1e-06,adam,512,0.001,500,30,3.98048734664917,3.9839540745412965
1e-06,adam,512,0.001,500,30,2.589294910430908,2.6670674579157616
1e-06,adam,512,0.001,1000,30,5.023425579071045,5.023611584816499
1e-06,adam,512,0.001,1000,30,4.999649524688721,4.999751657040585
1e-06,adam,512,0.001,1000,30,4.119381904602051,4.132152944623864
1e-06,adam,512,0.001,1000,30,3.9533932209014893,3.95687929183638
1e-06,adam,512,0.001,1000,30,2.583811044692993,2.6616596561340358
1e-06,adam,512,0.1,500,10,5.017518997192383,5.0176716369254235
1e-06,adam,512,0.1,500,10,5.0110979080200195,5.011223403582238
1e-06,adam,512,0.1,500,10,4.109888553619385,4.1226154717905805
1e-06,adam,512,0.1,500,10,3.975482225418091,3.9788515588644455
1e-06,adam,512,0.1,500,10,2.6046195030212402,2.681742778035426
1e-06,adam,512,0.1,1000,10,4.992763996124268,4.992872689614882
1e-06,adam,512,0.1,1000,10,5.009561538696289,5.009688337001287
1e-06,adam,512,0.1,1000,10,4.093001842498779,4.105913800508607
1e-06,adam,512,0.1,1000,10,3.992427349090576,3.995901153487456
1e-06,adam,512,0.1,1000,10,2.5877444744110107,2.6653682607461704
1e-06,adam,512,0.1,500,20,4.994503498077393,4.994613034339394
1e-06,adam,512,0.1,500,20,4.995312690734863,4.995412438579877
1e-06,adam,512,0.1,500,20,4.098516941070557,4.111247865160779
1e-06,adam,512,0.1,500,20,3.9651622772216797,3.968568812762462
1e-06,adam,512,0.1,500,20,2.5864715576171875,2.6640244646237794
1e-06,adam,512,0.1,1000,20,5.0226616859436035,5.022866793616571
1e-06,adam,512,0.1,1000,20,4.999795913696289,4.999899100239248
1e-06,adam,512,0.1,1000,20,4.117250442504883,4.129958900080898
1e-06,adam,512,0.1,1000,20,3.980430841445923,3.9838440784445144
1e-06,adam,512,0.1,1000,20,2.608935832977295,2.686064847065383
1e-06,adam,512,0.1,500,30,4.994649887084961,4.994768457554372
1e-06,adam,512,0.1,500,30,4.992650985717773,4.992760758178116
1e-06,adam,512,0.1,500,30,4.101421356201172,4.114190938402922
1e-06,adam,512,0.1,500,30,3.966059446334839,3.969508902012532
1e-06,adam,512,0.1,500,30,2.59906268119812,2.676367212443215
1e-06,adam,512,0.1,1000,30,4.99943208694458,4.999538400323433
1e-06,adam,512,0.1,1000,30,5.023447036743164,5.023644806424244
1e-06,adam,512,0.1,1000,30,4.136183738708496,4.14892460321457
1e-06,adam,512,0.1,1000,30,3.9559919834136963,3.959437460583569
1e-06,adam,512,0.1,1000,30,2.610551357269287,2.687541429067258
1e-06,RMSprop,32,0.001,500,10,4.9992780685424805,4.999373778228477
1e-06,RMSprop,32,0.001,500,10,4.997649192810059,4.997729358075752
1e-06,RMSprop,32,0.001,500,10,4.109225273132324,4.1219274464033315
1e-06,RMSprop,32,0.001,500,10,3.9683187007904053,3.971728551342208
1e-06,RMSprop,32,0.001,500,10,2.6046886444091797,2.6818318587073438
1e-06,RMSprop,32,0.001,1000,10,5.0025248527526855,5.00260876310006
1e-06,RMSprop,32,0.001,1000,10,4.997836589813232,4.997926091191495
1e-06,RMSprop,32,0.001,1000,10,4.107168197631836,4.119975411054696
1e-06,RMSprop,32,0.001,1000,10,3.9677441120147705,3.971165680294838
1e-06,RMSprop,32,0.001,1000,10,2.600097894668579,2.677325840120101
1e-06,RMSprop,32,0.001,500,20,5.01446008682251,5.0145697984036
1e-06,RMSprop,32,0.001,500,20,4.988149166107178,4.98824492510756
1e-06,RMSprop,32,0.001,500,20,4.112260341644287,4.124947518679523
1e-06,RMSprop,32,0.001,500,20,3.956878900527954,3.960316626288426
1e-06,RMSprop,32,0.001,500,20,2.6009109020233154,2.6781091963347343
1e-06,RMSprop,32,0.001,1000,20,5.011585712432861,5.011695724993388
1e-06,RMSprop,32,0.001,1000,20,4.996405601501465,4.996509478036775
1e-06,RMSprop,32,0.001,1000,20,4.141783237457275,4.154532859423463
1e-06,RMSprop,32,0.001,1000,20,3.977778434753418,3.9811942774827047
1e-06,RMSprop,32,0.001,1000,20,2.584085702896118,2.661859849079237
1e-06,RMSprop,32,0.001,500,30,5.013955593109131,5.014090329975938
1e-06,RMSprop,32,0.001,500,30,4.995872497558594,4.9959677649772125
1e-06,RMSprop,32,0.001,500,30,4.111711025238037,4.124513539616104
1e-06,RMSprop,32,0.001,500,30,3.9691178798675537,3.97256166538705
1e-06,RMSprop,32,0.001,500,30,2.5911805629730225,2.668716258923397
1e-06,RMSprop,32,0.001,1000,30,4.987032890319824,4.987137653697631
1e-06,RMSprop,32,0.001,1000,30,5.004612922668457,5.004745901328581
1e-06,RMSprop,32,0.001,1000,30,4.119699954986572,4.1323456527585
1e-06,RMSprop,32,0.001,1000,30,3.9668350219726562,3.970265737330993
1e-06,RMSprop,32,0.001,1000,30,2.604627847671509,2.6819425386535873
1e-06,RMSprop,32,0.1,500,10,4.998985290527344,4.99907752110444
1e-06,RMSprop,32,0.1,500,10,5.004115104675293,5.004217467207679
1e-06,RMSprop,32,0.1,500,10,4.119079113006592,4.131695255633552
1e-06,RMSprop,32,0.1,500,10,3.974839925765991,3.978253497785072
1e-06,RMSprop,32,0.1,500,10,2.593050479888916,2.6704272536279556
1e-06,RMSprop,32,0.1,1000,10,5.000820159912109,5.000916206339798
1e-06,RMSprop,32,0.1,1000,10,5.000561714172363,5.00065932695116
1e-06,RMSprop,32,0.1,1000,10,4.123410701751709,4.136132909340025
1e-06,RMSprop,32,0.1,1000,10,3.9765586853027344,3.9799520439824274
1e-06,RMSprop,32,0.1,1000,10,2.5865638256073,2.6641863573205993
1e-06,RMSprop,32,0.1,500,20,4.996841907501221,4.996938912828048
1e-06,RMSprop,32,0.1,500,20,4.991948127746582,4.992043649812744
1e-06,RMSprop,32,0.1,500,20,4.111955642700195,4.124660824789799
1e-06,RMSprop,32,0.1,500,20,3.9571666717529297,3.9606243664363423
1e-06,RMSprop,32,0.1,500,20,2.5803682804107666,2.658090649312656
1e-06,RMSprop,32,0.1,1000,20,5.004235744476318,5.004329904672534
1e-06,RMSprop,32,0.1,1000,20,5.001804351806641,5.001904697027377
1e-06,RMSprop,32,0.1,1000,20,4.101956367492676,4.114740038756744
1e-06,RMSprop,32,0.1,1000,20,3.9773662090301514,3.98076906278646
1e-06,RMSprop,32,0.1,1000,20,2.598047971725464,2.67535815827048
1e-06,RMSprop,32,0.1,500,30,5.011115074157715,5.011241863393518
1e-06,RMSprop,32,0.1,500,30,5.011214256286621,5.011334732340332
1e-06,RMSprop,32,0.1,500,30,4.099495887756348,4.112286250812091
1e-06,RMSprop,32,0.1,500,30,3.9755547046661377,3.978948031239254
1e-06,RMSprop,32,0.1,500,30,2.60408353805542,2.681292973242912
1e-06,RMSprop,32,0.1,1000,30,5.010671615600586,5.010774257321608
1e-06,RMSprop,32,0.1,1000,30,4.994020938873291,4.994130695140695
1e-06,RMSprop,32,0.1,1000,30,4.112123966217041,4.12484856529855
1e-06,RMSprop,32,0.1,1000,30,3.9485411643981934,3.9520281449833115
1e-06,RMSprop,32,0.1,1000,30,2.592637538909912,2.6699275900633785
1e-06,RMSprop,128,0.001,500,10,4.998713493347168,4.9988213103488555
1e-06,RMSprop,128,0.001,500,10,4.982600688934326,4.98273558247753
1e-06,RMSprop,128,0.001,500,10,4.10756254196167,4.120272383713389
1e-06,RMSprop,128,0.001,500,10,3.976684093475342,3.9800686171861113
1e-06,RMSprop,128,0.001,500,10,2.5959179401397705,2.673423808969637
1e-06,RMSprop,128,0.001,1000,10,5.0142974853515625,5.014432486069449
1e-06,RMSprop,128,0.001,1000,10,4.994266510009766,4.9943634687645515
1e-06,RMSprop,128,0.001,1000,10,4.12141752243042,4.134205805054921
1e-06,RMSprop,128,0.001,1000,10,3.9801242351531982,3.9835123960930083
1e-06,RMSprop,128,0.001,1000,10,2.5860838890075684,2.663647213782671
1e-06,RMSprop,128,0.001,500,20,4.986229419708252,4.986343425603239
1e-06,RMSprop,128,0.001,500,20,4.9986653327941895,4.99875587243634
1e-06,RMSprop,128,0.001,500,20,4.13200569152832,4.14469439071293
1e-06,RMSprop,128,0.001,500,20,3.977590799331665,3.980981196696632
1e-06,RMSprop,128,0.001,500,20,2.5804853439331055,2.658205815747628
1e-06,RMSprop,128,0.001,1000,20,4.994328022003174,4.994433165072976
1e-06,RMSprop,128,0.001,1000,20,4.996906757354736,4.997001320946202
1e-06,RMSprop,128,0.001,1000,20,4.119360446929932,4.131966690017841
1e-06,RMSprop,128,0.001,1000,20,3.973872184753418,3.977316674324091
1e-06,RMSprop,128,0.001,1000,20,2.589494228363037,2.6671083104468294
1e-06,RMSprop,128,0.001,500,30,4.9901580810546875,4.990259792315406
1e-06,RMSprop,128,0.001,500,30,4.996024131774902,4.996119519272382
1e-06,RMSprop,128,0.001,500,30,4.111966133117676,4.124656431744545
1e-06,RMSprop,128,0.001,500,30,3.9629666805267334,3.966405701801592
1e-06,RMSprop,128,0.001,500,30,2.5935771465301514,2.6710622343227506
1e-06,RMSprop,128,0.001,1000,30,4.995495319366455,4.99562300790007
1e-06,RMSprop,128,0.001,1000,30,5.002612113952637,5.0027174240972485
1e-06,RMSprop,128,0.001,1000,30,4.1116228103637695,4.1244173505412025
1e-06,RMSprop,128,0.001,1000,30,3.96992564201355,3.973325959866571
1e-06,RMSprop,128,0.001,1000,30,2.612680196762085,2.689446033033496
1e-06,RMSprop,128,0.1,500,10,4.9927873611450195,4.992901913621273
1e-06,RMSprop,128,0.1,500,10,4.99870491027832,4.998808528083413
1e-06,RMSprop,128,0.1,500,10,4.1177191734313965,4.130491358459025
1e-06,RMSprop,128,0.1,500,10,3.97001051902771,3.973415486000633
1e-06,RMSprop,128,0.1,500,10,2.5971174240112305,2.674296926636765
1e-06,RMSprop,128,0.1,1000,10,5.00398063659668,5.004076249795713
1e-06,RMSprop,128,0.1,1000,10,5.008364200592041,5.008482032806868
1e-06,RMSprop,128,0.1,1000,10,4.115928649902344,4.128634614409088
1e-06,RMSprop,128,0.1,1000,10,3.9755983352661133,3.9790099880402807
1e-06,RMSprop,128,0.1,1000,10,2.5943078994750977,2.67176211826949
1e-06,RMSprop,128,0.1,500,20,4.9903564453125,4.990464846072238
1e-06,RMSprop,128,0.1,500,20,4.985960960388184,4.9860817788246266
1e-06,RMSprop,128,0.1,500,20,4.117346286773682,4.130167181219693
1e-06,RMSprop,128,0.1,500,20,3.9745917320251465,3.9780341462385835
1e-06,RMSprop,128,0.1,500,20,2.60798978805542,2.685088472951024
1e-06,RMSprop,128,0.1,1000,20,4.992593765258789,4.992695813873319
1e-06,RMSprop,128,0.1,1000,20,4.9964680671691895,4.9965787626800235
1e-06,RMSprop,128,0.1,1000,20,4.117300987243652,4.130001619352527
1e-06,RMSprop,128,0.1,1000,20,3.974623441696167,3.9780609964764255
1e-06,RMSprop,128,0.1,1000,20,2.5721683502197266,2.6502694514776777
1e-06,RMSprop,128,0.1,500,30,4.998554706573486,4.998670210434037
1e-06,RMSprop,128,0.1,500,30,4.993827819824219,4.993936104105623
1e-06,RMSprop,128,0.1,500,30,4.100157260894775,4.112862039416522
1e-06,RMSprop,128,0.1,500,30,3.9515960216522217,3.955069082744293
1e-06,RMSprop,128,0.1,500,30,2.586150884628296,2.663785769053714
1e-06,RMSprop,128,0.1,1000,30,4.982422351837158,4.982548968145792
1e-06,RMSprop,128,0.1,1000,30,5.004728317260742,5.004847656126524
1e-06,RMSprop,128,0.1,1000,30,4.112747669219971,4.125381220917106
1e-06,RMSprop,128,0.1,1000,30,3.980717420578003,3.9841304928423944
1e-06,RMSprop,128,0.1,1000,30,2.5837388038635254,2.661410177632519
1e-06,RMSprop,512,0.001,500,10,5.009035587310791,5.009165755082342
1e-06,RMSprop,512,0.001,500,10,5.010525703430176,5.010649022076533
1e-06,RMSprop,512,0.001,500,10,4.090638637542725,4.103442881836796
1e-06,RMSprop,512,0.001,500,10,3.984844446182251,3.988253512085228
1e-06,RMSprop,512,0.001,500,10,2.6014418601989746,2.67851218203462
1e-06,RMSprop,512,0.001,1000,10,4.9837727546691895,4.983897219153788
1e-06,RMSprop,512,0.001,1000,10,4.994046211242676,4.994165258604187
1e-06,RMSprop,512,0.001,1000,10,4.105213642120361,4.117936068097403
1e-06,RMSprop,512,0.001,1000,10,3.951317310333252,3.954815167763145
1e-06,RMSprop,512,0.001,1000,10,2.5951449871063232,2.6725321179164836
1e-06,RMSprop,512,0.001,500,20,4.985422611236572,4.985553661886687
1e-06,RMSprop,512,0.001,500,20,4.98410701751709,4.9842257581987
1e-06,RMSprop,512,0.001,500,20,4.12558126449585,4.13826791142897
1e-06,RMSprop,512,0.001,500,20,3.967421293258667,3.970850591365194
1e-06,RMSprop,512,0.001,500,20,2.5991973876953125,2.6765115228665377
1e-06,RMSprop,512,0.001,1000,20,4.998637676239014,4.998729925971469
1e-06,RMSprop,512,0.001,1000,20,4.9782538414001465,4.978391877017351
1e-06,RMSprop,512,0.001,1000,20,4.11698579788208,4.1296884883860665
1e-06,RMSprop,512,0.001,1000,20,3.981132984161377,3.9845613323847386
1e-06,RMSprop,512,0.001,1000,20,2.592655658721924,2.6700675160018976
1e-06,RMSprop,512,0.001,500,30,4.9838480949401855,4.983981412935576
1e-06,RMSprop,512,0.001,500,30,4.9785261154174805,4.978646457370251
1e-06,RMSprop,512,0.001,500,30,4.117447376251221,4.130114303743579
1e-06,RMSprop,512,0.001,500,30,3.950388193130493,3.9538971520006223
1e-06,RMSprop,512,0.001,500,30,2.584277391433716,2.6618661188612043
1e-06,RMSprop,512,0.001,1000,30,4.988670825958252,4.988780977195504
1e-06,RMSprop,512,0.001,1000,30,4.9917073249816895,4.991815926300311
1e-06,RMSprop,512,0.001,1000,30,4.100478649139404,4.1132967840845085
1e-06,RMSprop,512,0.001,1000,30,3.9853079319000244,3.9887355504600586
1e-06,RMSprop,512,0.001,1000,30,2.5928468704223633,2.6703352925514796
1e-06,RMSprop,512,0.1,500,10,4.979966640472412,4.98010587679292
1e-06,RMSprop,512,0.1,500,10,5.008882522583008,5.008992881740905
1e-06,RMSprop,512,0.1,500,10,4.11021614074707,4.122904389709936
1e-06,RMSprop,512,0.1,500,10,3.9588451385498047,3.9622885903361342
1e-06,RMSprop,512,0.1,500,10,2.6052849292755127,2.6824050336169925
1e-06,RMSprop,512,0.1,1000,10,4.995936870574951,4.996036866246734
1e-06,RMSprop,512,0.1,1000,10,4.988073825836182,4.988180113195073
1e-06,RMSprop,512,0.1,1000,10,4.114679336547852,4.127302740825867
1e-06,RMSprop,512,0.1,1000,10,3.9822893142700195,3.9857009177464757
1e-06,RMSprop,512,0.1,1000,10,2.6018290519714355,2.6791339447095712
1e-06,RMSprop,512,0.1,500,20,4.999195098876953,4.999317313318206
1e-06,RMSprop,512,0.1,500,20,4.998692512512207,4.998797272031555
1e-06,RMSprop,512,0.1,500,20,4.095020771026611,4.107839087004465
1e-06,RMSprop,512,0.1,500,20,3.946376323699951,3.949908127500973
1e-06,RMSprop,512,0.1,500,20,2.57547664642334,2.6535642621970963
1e-06,RMSprop,512,0.1,1000,20,4.997238636016846,4.997345601263903
1e-06,RMSprop,512,0.1,1000,20,5.003452301025391,5.003558037320734
1e-06,RMSprop,512,0.1,1000,20,4.10866117477417,4.121312660803072
1e-06,RMSprop,512,0.1,1000,20,3.9734678268432617,3.9768669446557556
1e-06,RMSprop,512,0.1,1000,20,2.608436346054077,2.6856245549845
1e-06,RMSprop,512,0.1,500,30,5.000792503356934,5.000905145732253
1e-06,RMSprop,512,0.1,500,30,5.00566291809082,5.005789266237494
1e-06,RMSprop,512,0.1,500,30,4.110779285430908,4.123518012888061
1e-06,RMSprop,512,0.1,500,30,3.961237907409668,3.964631113448344
1e-06,RMSprop,512,0.1,500,30,2.5900321006774902,2.6675349451151797
1e-06,RMSprop,512,0.1,1000,30,5.001230239868164,5.001330580096774
1e-06,RMSprop,512,0.1,1000,30,4.99704122543335,4.997146936857563
1e-06,RMSprop,512,0.1,1000,30,4.111405372619629,4.124198604533816
1e-06,RMSprop,512,0.1,1000,30,3.9510717391967773,3.9545473698658227
1e-06,RMSprop,512,0.1,1000,30,2.588463306427002,2.6661502119474134
1e-05,adam,32,0.001,500,10,4.97812032699585,4.9782301954516175
1e-05,adam,32,0.001,500,10,4.987826347351074,4.987930416952541
1e-05,adam,32,0.001,500,10,4.097892761230469,4.110689018392491
1e-05,adam,32,0.001,500,10,3.9595398902893066,3.9629670310139864
1e-05,adam,32,0.001,500,10,2.5684707164764404,2.6467256217879496
1e-05,adam,32,0.001,1000,10,4.977330207824707,4.977454663946285
1e-05,adam,32,0.001,1000,10,4.9844279289245605,4.984529020506794
1e-05,adam,32,0.001,1000,10,4.115293502807617,4.128006273131816
1e-05,adam,32,0.001,1000,10,3.964308023452759,3.96769712404307
1e-05,adam,32,0.001,1000,10,2.5879781246185303,2.665430785926855
1e-05,adam,32,0.001,500,20,4.96199893951416,4.962134221430748
1e-05,adam,32,0.001,500,20,4.952887058258057,4.953070125817385
1e-05,adam,32,0.001,500,20,4.081541061401367,4.094277384326163
1e-05,adam,32,0.001,500,20,3.922992467880249,3.9265907174252845
1e-05,adam,32,0.001,500,20,2.5677826404571533,2.6459421651088815
1e-05,adam,32,0.001,1000,20,4.988786697387695,4.988877705139297
1e-05,adam,32,0.001,1000,20,4.965585231781006,4.9657311055470625
1e-05,adam,32,0.001,1000,20,4.086648941040039,4.099447464346805
1e-05,adam,32,0.001,1000,20,3.937366008758545,3.9408455819477166
