,learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
218,0.1,RMSprop,32,0.001,500,30,0.6698861479759216,0.8379165016769115
219,0.1,RMSprop,32,0.001,1000,10,0.642764949798584,0.8027281233855159
220,0.1,RMSprop,32,0.001,1000,20,0.6416557550430297,0.7993852112999924
221,0.1,RMSprop,32,0.001,1000,30,0.6410686135292053,0.7991930822331124
222,0.1,RMSprop,32,0.1,500,10,0.669149374961853,0.8209211906072877
223,0.1,RMSprop,32,0.1,500,20,0.6610699892044067,0.8250685330338321
224,0.1,RMSprop,32,0.1,500,30,0.6713130354881287,0.8283265592891329
225,0.1,RMSprop,32,0.1,1000,10,0.6366891741752625,0.8043685218743557
226,0.1,RMSprop,32,0.1,1000,20,0.6569596767425537,0.8095617383819725
227,0.1,RMSprop,32,0.1,1000,30,0.6679483890533447,0.8192217691276398
228,0.1,RMSprop,128,0.001,500,10,0.8271848797798157,1.0593452075203327
229,0.1,RMSprop,128,0.001,500,20,0.7371762871742249,0.9127502342208867
230,0.1,RMSprop,128,0.001,500,30,1.1927993774414063,1.626173072551025
231,0.1,RMSprop,128,0.001,1000,10,1.0045714974403381,1.3553135683085382
232,0.1,RMSprop,128,0.001,1000,20,1.358622968196869,1.885290458662545
233,0.1,RMSprop,128,0.001,1000,30,0.8090957522392273,1.0139314877868144
234,0.1,RMSprop,128,0.1,500,10,0.6856429934501648,0.8535933395476236
235,0.1,RMSprop,128,0.1,500,20,0.7567940711975097,0.9435871716028661
236,0.1,RMSprop,128,0.1,500,30,0.7395478963851929,0.9165174253619218
237,0.1,RMSprop,128,0.1,1000,10,0.6804691553115845,0.8413234615963059
238,0.1,RMSprop,128,0.1,1000,20,0.6836006760597229,0.835767133470363
239,0.1,RMSprop,128,0.1,1000,30,0.7200739860534668,0.8837220488730612
240,0.1,RMSprop,512,0.001,500,10,0.9002567410469056,1.1785787153388698
241,0.1,RMSprop,512,0.001,500,20,1.8961630463600159,2.8283848312411495
242,0.1,RMSprop,512,0.001,500,30,1.5414878249168396,2.269198435734014
243,0.1,RMSprop,512,0.001,1000,10,0.8140183091163635,1.056540740230957
244,0.1,RMSprop,512,0.001,1000,20,0.7978210687637329,1.0369630266601813
245,0.1,RMSprop,512,0.001,1000,30,0.9214926838874817,1.2144137305788747
