learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
0.001,adam,32,0.1,500,30,0.960441705584526,1.1968717639769788,1
0.001,adam,32,0.1,1000,30,0.9842997074127198,1.3149111784284102,1
0.001,adam,128,0.001,500,10,1.0921390116214753,1.3397655008226894,1
0.001,adam,128,0.001,1000,10,1.418159586191177,1.7131556933275762,1
0.001,adam,128,0.001,500,20,1.1091108977794648,1.3207723256992796,1
0.001,adam,128,0.001,1000,20,1.095305210351944,1.3293789744351352,1
0.001,adam,128,0.001,500,30,1.127877813577652,1.3298392934257264,1
0.001,adam,128,0.001,1000,30,1.115418827533722,1.332742385987769,1
0.001,adam,128,0.1,500,10,1.0321427553892135,1.4767224865984077,1
0.001,adam,128,0.1,1000,10,1.207322931289673,2.039173149526768,1
0.001,adam,128,0.1,500,20,1.0228681683540344,1.2951701206785793,1
0.001,adam,128,0.1,1000,20,1.0405214309692383,1.468158493244569,1
0.001,adam,128,0.1,500,30,1.0168406128883365,1.24539830045068,1
0.001,adam,128,0.1,1000,30,1.0493391096591949,1.3581332333837892,1
0.001,adam,512,0.001,500,10,1.1216904997825623,1.347699739058548,1
0.001,adam,512,0.001,1000,10,1.1022991597652436,1.3498586642490886,1
0.001,adam,512,0.001,500,20,1.143601018190384,1.355334789241488,1
0.001,adam,512,0.001,1000,20,1.1387388706207275,1.3632049779678792,1
0.001,adam,512,0.001,500,30,1.1477136373519898,1.353721750480673,1
0.001,adam,512,0.001,1000,30,1.1460061609745025,1.363802163798653,1
0.001,adam,512,0.1,500,10,1.0770464539527893,1.5100269876051549,1
0.001,adam,512,0.1,1000,10,1.07539199590683,1.802928572720396,1
0.001,adam,512,0.1,500,20,1.063628298044205,1.3361997603490026,1
0.001,adam,512,0.1,1000,20,1.0931458234786988,1.505899929979899,1
0.001,adam,512,0.1,500,30,1.0319991290569306,1.258398218197813,1
0.001,adam,512,0.1,1000,30,1.0888808906078338,1.4057775169934397,1
0.001,RMSprop,32,0.001,500,10,1.6444210052490231,1.9685650299615065,1
0.001,RMSprop,32,0.001,1000,10,2.1899951696395874,2.5987963017554065,1
0.001,RMSprop,32,0.001,500,20,1.0954322040081024,1.3031489523280364,1
0.001,RMSprop,32,0.001,1000,20,1.3854260802268985,1.6574380967791364,1
0.001,RMSprop,32,0.001,500,30,1.0669598937034608,1.2531547742621711,1
0.001,RMSprop,32,0.001,1000,30,1.075029546022415,1.299222758293277,1
0.001,RMSprop,32,0.1,500,10,1.439452236890793,1.8522412564975783,1
0.001,RMSprop,32,0.1,1000,10,2.0321518063545225,2.820787494424091,1
0.001,RMSprop,32,0.1,500,20,0.937024250626564,1.1588284970415808,1
0.001,RMSprop,32,0.1,1000,20,1.1853641271591189,1.5392130240788,1
0.001,RMSprop,32,0.1,500,30,0.9074511617422104,1.0947921175219295,1
0.001,RMSprop,32,0.1,1000,30,0.9359473764896392,1.1808611065659114,1
0.001,RMSprop,128,0.001,500,10,1.1264286100864411,1.3730047770269131,1
0.001,RMSprop,128,0.001,1000,10,1.5724799394607545,1.8731587142888668,1
0.001,RMSprop,128,0.001,500,20,1.1034704327583311,1.295891526756459,1
0.001,RMSprop,128,0.001,1000,20,1.1228250324726106,1.357607940435988,1
0.001,RMSprop,128,0.001,500,30,1.086953777074814,1.27128862552984,1
0.001,RMSprop,128,0.001,1000,30,1.1066082894802094,1.308212349951116,1
0.001,RMSprop,128,0.1,500,10,0.9994266718626024,1.333432712675968,1
0.001,RMSprop,128,0.1,1000,10,1.428321361541748,2.0594860596876123,1
