learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.001,adam,NeuCMFi0,32,0.1,500,0.7119
0.001,adam,NeuCMFi0,32,0.1,1000,0.7123
0.001,adam,NeuCMFi0,64,0.0,500,0.8769
0.001,adam,NeuCMFi0,64,0.0,1000,0.8648
0.001,adam,NeuCMFi0,64,0.01,500,0.8118
0.001,adam,NeuCMFi0,64,0.01,1000,0.8214
0.001,adam,NeuCMFi0,64,0.1,500,0.7132
0.001,adam,NeuCMFi0,64,0.1,1000,0.7123
0.001,adam,NeuCMFii,32,0.0,500,0.74
0.001,adam,NeuCMFii,32,0.0,1000,0.7458
