kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,10,0.01,0.1,100,0.001,0.7631821435855229
10,10,0.01,0.1,100,0.01,0.8628087209074357
10,10,0.01,0.1,100,0.1,0.8836208232883108
10,10,0.01,0.1,200,0.0001,0.7501985923246447
10,10,0.01,0.1,200,0.001,0.7871129053676088
10,10,0.01,0.1,200,0.01,0.876809235171055
10,10,0.01,0.1,200,0.1,0.8804471540736699
10,10,0.1,0.0001,10,0.0001,0.7919460592647393
10,10,0.1,0.0001,10,0.001,0.7937350608268424
10,10,0.1,0.0001,10,0.01,0.8122159026908248
10,10,0.1,0.0001,10,0.1,0.913136977263945
10,10,0.1,0.0001,50,0.0001,0.7971333546082983
10,10,0.1,0.0001,50,0.001,0.8050745704829777
10,10,0.1,0.0001,50,0.01,0.8791195081074086
10,10,0.1,0.0001,50,0.1,0.9663993073965976
10,10,0.1,0.0001,100,0.0001,0.801377167569755
10,10,0.1,0.0001,100,0.001,0.806924802242419
10,10,0.1,0.0001,100,0.01,0.9061628783153222
10,10,0.1,0.0001,100,0.1,0.9770943797552516
10,10,0.1,0.0001,200,0.0001,0.8012907839147311
10,10,0.1,0.0001,200,0.001,0.8328121553493504
10,10,0.1,0.0001,200,0.01,0.9575382778980204
10,10,0.1,0.0001,200,0.1,1.0050804598561358
10,10,0.1,0.001,10,0.0001,0.7966810368496006
10,10,0.1,0.001,10,0.001,0.7961037132914129
10,10,0.1,0.001,10,0.01,0.8100624476830848
10,10,0.1,0.001,10,0.1,0.9192915925949476
10,10,0.1,0.001,50,0.0001,0.7988466195054652
10,10,0.1,0.001,50,0.001,0.8046631395549991
10,10,0.1,0.001,50,0.01,0.8745270376166097
10,10,0.1,0.001,50,0.1,0.973502044231344
10,10,0.1,0.001,100,0.0001,0.7916446810509453
10,10,0.1,0.001,100,0.001,0.8120468765650659
10,10,0.1,0.001,100,0.01,0.9112813421371636
10,10,0.1,0.001,100,0.1,0.9844266232954167
10,10,0.1,0.001,200,0.0001,0.8048670840658644
10,10,0.1,0.001,200,0.001,0.8261268587348143
10,10,0.1,0.001,200,0.01,0.9442493624464976
10,10,0.1,0.001,200,0.1,1.0014116491316447
10,10,0.1,0.01,10,0.0001,0.7971549924791076
10,10,0.1,0.01,10,0.001,0.7930717706690616
10,10,0.1,0.01,10,0.01,0.8028500614314865
10,10,0.1,0.01,10,0.1,0.9051656565289474
10,10,0.1,0.01,50,0.0001,0.7942462239049372
10,10,0.1,0.01,50,0.001,0.8048755173025336
10,10,0.1,0.01,50,0.01,0.87652236885176
10,10,0.1,0.01,50,0.1,0.9706965097399832
10,10,0.1,0.01,100,0.0001,0.7976763367634163
10,10,0.1,0.01,100,0.001,0.8113516312379562
10,10,0.1,0.01,100,0.01,0.9021870761629048
10,10,0.1,0.01,100,0.1,0.966732818523122
10,10,0.1,0.01,200,0.0001,0.7979160268992008
10,10,0.1,0.01,200,0.001,0.8280690006475523
