learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
1e-05,adam,128,0.001,1000,4.762571811676025,22.69626808166504
1e-05,adam,128,0.001,1000,3.921858787536621,15.490310668945312
1e-05,adam,128,0.001,1000,3.750747203826904,14.105608940124512
1e-05,adam,128,0.001,1000,2.3244569301605225,5.831667423248291
1e-05,adam,128,0.001,2000,4.888460159301758,23.900035858154297
1e-05,adam,128,0.001,2000,4.929201602935791,24.298545837402344
1e-05,adam,128,0.001,2000,4.047359466552734,16.487043380737305
1e-05,adam,128,0.001,2000,3.8763256072998047,15.053644180297852
1e-05,adam,128,0.001,2000,2.506303310394287,6.688777446746826
1e-05,adam,128,0.001,4000,4.9507036209106445,24.51067352294922
1e-05,adam,128,0.001,4000,4.953563213348389,24.539039611816406
1e-05,adam,128,0.001,4000,4.085563659667969,16.79652976989746
1e-05,adam,128,0.001,4000,3.9123222827911377,15.334073066711426
1e-05,adam,128,0.001,4000,2.570553541183472,7.016215324401856
1e-05,adam,128,0.01,500,4.143645763397217,17.550493240356445
1e-05,adam,128,0.01,500,4.163035392761231,17.682706832885742
1e-05,adam,128,0.01,500,3.2673232555389404,11.174112319946287
1e-05,adam,128,0.01,500,3.387569665908813,11.637906074523926
1e-05,adam,128,0.01,500,1.657219648361206,3.510883092880249
1e-05,adam,128,0.01,1000,4.76245641708374,22.69219207763672
1e-05,adam,128,0.01,1000,4.751032829284668,22.588409423828125
1e-05,adam,128,0.01,1000,3.785797357559204,14.484400749206545
1e-05,adam,128,0.01,1000,3.748965263366699,14.090641975402832
1e-05,adam,128,0.01,1000,2.3539295196533203,5.958581924438477
1e-05,adam,128,0.01,2000,4.890450954437256,23.919118881225582
1e-05,adam,128,0.01,2000,4.9307861328125,24.314149856567383
1e-05,adam,128,0.01,2000,4.032721042633057,16.369556427001953
1e-05,adam,128,0.01,2000,3.87588882446289,15.050626754760742
1e-05,adam,128,0.01,2000,2.4974868297576904,6.6462721824646
1e-05,adam,128,0.01,4000,4.952542304992676,24.52872657775879
1e-05,adam,128,0.01,4000,4.923601150512695,24.24434280395508
1e-05,adam,128,0.01,4000,4.04670000076294,16.48208236694336
1e-05,adam,128,0.01,4000,3.917836904525757,15.37692928314209
1e-05,adam,128,0.01,4000,2.524152994155884,6.780418395996094
1e-05,adam,128,0.1,500,4.269525051116943,18.46236991882324
1e-05,adam,128,0.1,500,4.199665546417236,17.969972610473633
1e-05,adam,128,0.1,500,3.3545565605163574,11.64352798461914
1e-05,adam,128,0.1,500,3.360260248184204,11.450202941894531
1e-05,adam,128,0.1,500,1.839038610458374,3.978148460388184
1e-05,adam,128,0.1,1000,4.714332103729248,22.25064849853516
1e-05,adam,128,0.1,1000,4.75399923324585,22.61610221862793
1e-05,adam,128,0.1,1000,3.8702409267425537,15.098715782165527
1e-05,adam,128,0.1,1000,3.775115966796875,14.284536361694336
1e-05,adam,128,0.1,1000,2.364673137664795,6.008029460906982
1e-05,adam,128,0.1,2000,4.93468189239502,24.35243797302246
1e-05,adam,128,0.1,2000,4.91662073135376,24.174732208251957
1e-05,adam,128,0.1,2000,4.046787738800049,16.481170654296875
1e-05,adam,128,0.1,2000,3.885999917984009,15.128544807434082
