learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.1,RMSprop,128,0.01,1000,1.8014270067214966,6.1420512199401855
0.1,RMSprop,128,0.01,1000,0.6753787994384766,0.6729747653007507
0.1,RMSprop,128,0.01,1000,0.6766827702522278,0.6990110278129578
0.1,RMSprop,128,0.01,1000,0.6843914985656738,0.7112314701080322
0.1,RMSprop,128,0.1,500,0.7058849930763245,0.758305549621582
0.1,RMSprop,128,0.1,500,0.6905417442321777,0.7523354887962341
0.1,RMSprop,128,0.1,500,0.7179526090621948,0.8149735331535339
0.1,RMSprop,128,0.1,500,0.7504334449768066,0.8533085584640503
0.1,RMSprop,128,0.1,500,0.6774420142173767,0.7057810425758362
0.1,RMSprop,128,0.1,1000,0.6921990513801575,0.7075490355491638
0.1,RMSprop,128,0.1,1000,0.6861401796340942,0.7141430974006653
0.1,RMSprop,128,0.1,1000,0.7258575558662415,0.8035904169082642
0.1,RMSprop,128,0.1,1000,0.6931135058403015,0.7159955501556396
0.1,RMSprop,128,0.1,1000,0.6638278365135193,0.6803691387176514
0.001,adam,64,0.01,500,0.6037260293960571,0.5918712019920349
0.001,adam,64,0.01,500,0.5872426629066467,0.5687891840934753
0.001,adam,64,0.01,500,0.5964248180389404,0.582810640335083
0.001,adam,64,0.01,500,0.5923629403114319,0.5742190480232239
0.001,adam,64,0.01,500,0.6018083095550537,0.5912209153175354
0.001,adam,64,0.01,1000,0.6027088165283203,0.5917437672615051
0.001,adam,64,0.01,1000,0.5883955955505371,0.5690569877624512
0.001,adam,64,0.01,1000,0.5987719297409058,0.5858344435691833
0.001,adam,64,0.01,1000,0.5923099517822266,0.5767796635627747
0.001,adam,64,0.01,1000,0.6007624268531799,0.5934672355651855
0.001,adam,64,0.1,500,0.6018469929695129,0.5897428393363953
0.001,adam,64,0.1,500,0.5885016918182373,0.5692113637924194
0.001,adam,64,0.1,500,0.5998596549034119,0.5868672132492065
0.001,adam,64,0.1,500,0.5910382270812988,0.5743094682693481
0.001,adam,64,0.1,500,0.5996208190917969,0.5913954973220825
0.001,adam,64,0.1,1000,0.6020593047142029,0.5909227728843689
0.001,adam,64,0.1,1000,0.5882561206817627,0.5693655014038086
0.001,adam,64,0.1,1000,0.5992739200592041,0.5852171182632446
0.001,adam,64,0.1,1000,0.5915771722793579,0.5747405290603638
0.001,adam,64,0.1,1000,0.5992355942726135,0.5902053713798523
0.001,adam,512,0.01,500,0.6006054282188416,0.5910723805427551
